"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,
"Japan","158","Export Diversification Index","total_theil","Value","2.1011004","2.1131971","2.1305478","2.1185722",
"Kazakhstan","916","Extensive Margin","between_theil","Value","0.0712755171681169","0.0849013620736088","0.0695624202246894","0.0644318386912346",
"Kazakhstan","916","Intensive Margin","within_theil","Value","4.92752137003288","4.51627642769017","4.81051896855075","4.63685035705566",
"Kazakhstan","916","Export Diversification Index","total_theil","Value","4.9987969","4.6011777","4.8800812","4.701282",
"Kenya","664","Extensive Margin","between_theil","Value","0.143810778856277","0.174749732017517","0.16192090511322","0.145382545888424",
"Croatia","960","Extensive Margin","between_theil","Value","0.0542314602311069","0.050872292369604","0.0508719272905474","0.049190241843462",
"Croatia","960","Intensive Margin","within_theil","Value","1.9354535008888","1.91132760047913","1.86326897144318","1.84491646289825",
"Croatia","960","Export Diversification Index","total_theil","Value","1.9896849","1.9621999","1.9141409","1.8941067",
"Haiti","263","Extensive Margin","between_theil","Value","1.9243388755782","1.88793977280144","1.87351130566833","1.93178497068584",
"Haiti","263","Intensive Margin","within_theil","Value","3.18178619343598","3.18045534938574","3.22826514206099","3.19272559136152",
"Haiti","263","Export Diversification Index","total_theil","Value","5.1061249","5.0683951","5.1017766","5.1245108",
"Hungary","944","Extensive Margin","between_theil","Value","0.296470163885488","0.281828357838094","0.250749405471018","0.272726701572537",
"Hungary","944","Intensive Margin","within_theil","Value","2.03537335991859","1.94428111612797","1.84630563855171","1.90922537446022",
"Hungary","944","Export Diversification Index","total_theil","Value","2.3318436","2.2261095","2.097055","2.181952",
"Indonesia","536","Extensive Margin","between_theil","Value","0.434389729052782","0.446430742740631","0.432614903897047","0.401793278753757",
"Indonesia","536","Intensive Margin","within_theil","Value","1.92001131176949","1.89918538928032","1.86110550165176","1.80637261271477",
"Indonesia","536","Export Diversification Index","total_theil","Value","2.3544011","2.3456161","2.2937205","2.2081659",
"India","534","Extensive Margin","between_theil","Value","0.184447866864502","0.169644048437476","0.169106035493314","0.164984530769289",
"Sierra Leone","724","Extensive Margin","between_theil","Value","0.699238410960429","1.66302150209654","2.04508609013787","1.96131356898695",
"Sierra Leone","724","Intensive Margin","within_theil","Value","2.88896617949467","2.52916825284046","2.86724681846681","3.00123080611229",
"Sierra Leone","724","Export Diversification Index","total_theil","Value","3.5882046","4.1921897","4.912333","4.9625444",
"El Salvador","253","Extensive Margin","between_theil","Value","-0.0411203392132976","-0.040038677084259","-0.0261417731906732","-0.0065034524304792",
"El Salvador","253","Intensive Margin","within_theil","Value","3.08302490256875","3.05416749292775","3.02142574737991","3.08356326818466",
"El Salvador","253","Export Diversification Index","total_theil","Value","3.0419044","3.0141289","2.9952841","3.0770597",
"Somalia","726","Extensive Margin","between_theil","Value","1.81483299894751","1.96170702675298","1.52765625989468","1.42687148973346",
"Somalia","726","Intensive Margin","within_theil","Value","2.88499569095438","2.72615684033372","3.1714327284717","3.34790778160095",
"Somalia","726","Export Diversification Index","total_theil","Value","4.6998286","4.6878638","4.6990891","4.7747793",
"Antigua and Barbuda","311","Extensive Margin","between_theil","Value","0.120436869044823","0.12058692425488","0.11861326984991","0.118783578276634",
"Antigua and Barbuda","311","Intensive Margin","within_theil","Value","4.84165048599243","2.47984910011292","5.30734300613403","5.40236616134644",
"Antigua and Barbuda","311","Export Diversification Index","total_theil","Value","4.9620872","2.600436","5.4259562","5.5211496",
"Australia","193","Extensive Margin","between_theil","Value","0.0813920269720256","0.0641418481245637","0.059928638394922","0.0518587986007333",
"Bulgaria","918","Export Diversification Index","total_theil","Value","2.197814","2.2541692","2.2347832","2.1005907",
"Sudan","732","Export Diversification Index","total_theil","Value","5.8101401","0","0","0",
"Senegal","722","Extensive Margin","between_theil","Value","0.762039340899946","0.709706477820528","0.679528510197997","0.677557565271854",
"Congo, Democratic Republic of","636","Extensive Margin","between_theil","Value","0.553919970221048","0.772013682872057","0.706016982254283","0.702380118891597",
"Congo, Democratic Republic of","636","Intensive Margin","within_theil","Value","3.7385826090258","3.70977360010147","3.80705362558365","3.93391507863998",
"Congo, Democratic Republic of","636","Export Diversification Index","total_theil","Value","4.2925024","4.4817872","4.5130706","4.6362953",
"Singapore","576","Intensive Margin","within_theil","Value","3.1959193944931","3.16363942623138","3.14797861874104","3.01452526450157",
"Singapore","576","Export Diversification Index","total_theil","Value","3.326432","3.2917335","3.2982841","3.1689844",
"Solomon Islands","813","Extensive Margin","between_theil","Value","0.0217841163055255","0.0211613684413929","0.0147837102413177","0.0147838294506073",
"Solomon Islands","813","Intensive Margin","within_theil","Value","4.7794028687058","4.77124605959398","4.90362405776978","4.85048866271973",
"Solomon Islands","813","Export Diversification Index","total_theil","Value","4.801187","4.7924075","4.9184079","4.8652725",
"Gabon","646","Export Diversification Index","total_theil","Value","5.2513413","5.4532971","5.3597317","5.6162829",
"United Kingdom","112","Extensive Margin","between_theil","Value","0.016005324305894","0.0160370687886626","0.0160020558411631","0.0159968421966923",
"United Kingdom","112","Intensive Margin","within_theil","Value","1.87632555417076","1.92508439747326","1.93104396307899","1.9291496052756",
"United Kingdom","112","Export Diversification Index","total_theil","Value","1.8923309","1.9411215","1.947046","1.9451464",
"Georgia","915","Extensive Margin","between_theil","Value","0.111169646032067","0.0955569627309885","0.0885648580808804","0.0851222202181816",
